anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
represent organizations before domestic or international regulatory agencies on major policy matters or decisions regarding company products.,41.0,11-9199.01,18036.0,Represent organizations before domestic or international regulatory agencies on major policy matters or decisions regarding company products.,Core,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",exact,100.0,4,6.0,73.91,4.36,100.0,4.A.4.a.2.I11.D09,Represent the organization in external relations.,4.A.4.a.2.I11,0.7009202453987731,0.6830870279146141,0.09138381201044382,0.5062674094707522
"write commentaries, columns, or scripts, using computers.",40.0,27-3023.00,22623.0,"Write commentaries, columns, or scripts, using computers.",Core,"News Analysts, Reporters, and Journalists","Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation.",exact,100.0,4,,,4.77,91.11,4.A.3.b.6.I12.D05,Write informational material.,4.A.3.b.6.I12,0.6763803680981596,0.46962233169129736,0.1723237597911227,0.44777158774373277
manage timely flow of business intelligence information to users.,40.0,15-2051.01,16140.0,Manage timely flow of business intelligence information to users.,Core,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,exact,100.0,4,6.0,68.18,4.19,100.0,4.A.2.b.4.I03.D03,Develop information communication procedures.,4.A.2.b.4.I03,0.8159509202453988,0.47126436781609204,0.0026109660574412555,0.42130919220055735
"counsel clients and patients in individual and group sessions to help them overcome dependencies, recover from illness, and adjust to life.",40.0,21-1022.00,261.0,"Counsel clients and patients in individual and group sessions to help them overcome dependencies, recover from illness, and adjust to life.",Core,Healthcare Social Workers,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",exact,100.0,5,8.0,70.37,4.17,85.19,4.A.4.b.6.I10.D02,Counsel clients or patients with substance abuse issues.,4.A.4.b.6.I10,0.5015337423312883,0.6617405582922824,0.08877284595300257,0.4052924791086351
"explain company personnel policies, benefits, and procedures to employees or job applicants.",40.0,43-4161.00,2687.0,"Explain company personnel policies, benefits, and procedures to employees or job applicants.",Core,"Human Resources Assistants, Except Payroll and Timekeeping","Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.",exact,100.0,3,6.0,33.81,4.03,92.6,4.A.4.a.1.I02.D04,"Explain regulations, policies, or procedures.",4.A.4.a.1.I02,0.4662576687116565,0.5829228243021347,0.25848563968668403,0.44637883008356566
"purchase or negotiate placement of listings in local search engines, directories, or digital mapping technologies.",40.0,13-1161.01,20331.0,"Purchase or negotiate placement of listings in local search engines, directories, or digital mapping technologies.",Core,Search Marketing Strategists,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",exact,100.0,4,6.0,47.83,3.22,100.0,4.A.2.b.1.I09.D04,Implement advertising or marketing initiatives.,4.A.2.b.1.I09,0.8941717791411047,0.568144499178982,0.13838120104438642,0.5703342618384404
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",40.0,19-3092.00,5507.0,"Analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",Core,Geographers,"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.",exact,100.0,4,6.0,45.0,3.84,95.0,4.A.1.a.1.I18.D01,Conduct anthropological or archaeological research.,4.A.1.a.1.I18,0.8282208588957056,0.4597701149425288,0.2506527415143603,0.5543175487465182
prepare merchandise for display or for purchase or rental.,40.0,41-2021.00,679.0,Prepare merchandise for display or for purchase or rental.,Core,Counter and Rental Clerks,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute cost, and accept payment.",exact,100.0,2,2.0,55.86,3.79,76.53,4.A.3.a.2.I08.D02,Set up merchandise displays.,4.A.3.a.2.I08,0.460122699386503,0.3727422003284074,0.42297650130548303,0.4422005571030641
assign or schedule tasks to meet work priorities and goals.,40.0,15-1221.00,14624.0,Assign or schedule tasks to meet work priorities and goals.,Core,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",exact,100.0,5,6.0,36.22,3.76,82.77,4.A.4.b.4.I13.D06,Assign duties or work schedules to employees.,4.A.4.b.4.I13,0.9064417177914111,0.48440065681445005,0.36292428198433424,0.6601671309192203
"operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, velometers, sling psychrometers, or colormetric detection tubes.",40.0,17-2112.01,16384.0,"Operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, thermoanemometers, sling psychrometers, or colorimetric detection tubes.",Core,Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",fuzzy,96.89119170984456,5,8.0,50.0,3.4,100.0,4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",4.A.1.b.2.I12,0.7484662576687118,0.5911330049261085,0.32898172323759783,0.6155988857938721
"implement web site security measures, such as firewalls or message encryption.",40.0,15-1299.01,14735.0,"Implement Web site security measures, such as firewalls or message encryption.",Core,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",exact,100.0,4,6.0,55.0,4.19,84.21,4.A.3.b.1.I02.D01,Implement security measures for computer or information systems.,4.A.3.b.1.I02,0.7546012269938651,0.5829228243021347,0.237597911227154,0.5661559888579388
develop instrumentation and software for astronomical observation and analysis.,40.0,19-2011.00,7531.0,Develop instrumentation and software for astronomical observation and analysis.,Core,Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.",exact,100.0,5,11.0,65.22,3.95,95.65,4.A.2.b.2.I02.D06,Develop software or applications for scientific or technical use.,4.A.2.b.2.I02,0.8987730061349692,0.497536945812808,0.2741514360313315,0.6149025069637885
"develop networks of attorneys, mortgage lenders, and contractors to whom clients may be referred.",40.0,41-9022.00,2463.0,"Develop networks of attorneys, mortgage lenders, and contractors to whom clients may be referred.",Core,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",exact,100.0,3,2.0,42.86,3.75,95.24,4.A.4.a.4.I01.D05,Develop professional relationships or networks.,4.A.4.a.4.I01,0.6395705521472393,0.640394088669951,0.1462140992167102,0.48955431754874656
